playerid,yearid,stint,teamid,lgid,position,games,games_started,innouts,putouts,assists,errors,double_plays,passed_balls,wild_pitches,opp_sbs,opp_cs,zone_rating
graydo02,1932,1,SLA,AL,P,52,,,9,39,4,1,,,,,
gregopa01,1932,1,CHA,AL,P,33,,,5,38,2,2,,,,,
grimebu01,1932,1,CHN,NL,P,30,,,12,33,2,4,,,,,
grimeed01,1932,1,SLA,AL,2B,2,,,2,2,0,1,,,,,
grimeed01,1932,1,SLA,AL,3B,18,,,14,35,6,4,,,,,
grimeed01,1932,1,SLA,AL,SS,1,,,1,1,0,0,,,,,
grimmch01,1932,1,CHN,NL,1B,149,,,1429,123,11,127,,,,,
groskho01,1932,1,PIT,NL,SS,1,,,2,2,1,0,,,,,
grovele01,1932,1,PHA,AL,P,44,,,3,46,1,1,,,,,
grubefr01,1932,1,CHA,AL,C,92,,,303,55,16,5,5,,,,
gudatma01,1932,1,CHN,NL,1B,8,,,63,4,1,4,,,,,
gudatma01,1932,1,CHN,NL,OF,14,,,14,0,1,0,,,,,
gudatma01,1932,1,CHN,NL,P,1,,,0,0,0,0,,,,,
haasmu01,1932,1,PHA,AL,OF,137,,,372,6,5,2,,,,,
hackst01,1932,1,CHN,NL,3B,51,,,36,90,12,5,,,,,
hadlebu01,1932,1,CHA,AL,P,3,,,3,3,0,0,,,,,
hadlebu01,1932,2,SLA,AL,P,40,,,12,26,2,0,,,,,
hafeych01,1932,1,CIN,NL,OF,65,,,131,5,5,0,,,,,
haineje01,1932,1,SLN,NL,P,20,,,2,14,0,2,,,,,
hallabi01,1932,1,SLN,NL,P,25,,,7,27,2,1,,,,,
hansesn01,1932,1,PHI,NL,P,39,,,9,32,1,0,,,,,
hardeme01,1932,1,CLE,AL,P,39,,,18,65,2,0,,,,,
hargrpi01,1932,1,BSN,NL,C,73,,,206,39,8,4,1,,,,
harribi01,1932,1,PIT,NL,P,37,,,2,30,1,0,,,,,
harrida01,1932,1,WS1,AL,OF,34,,,66,3,5,0,,,,,
hartnga01,1932,1,CHN,NL,1B,1,,,14,0,0,2,,,,,
hartnga01,1932,1,CHN,NL,C,117,,,484,75,10,8,11,,,,
hayesja02,1932,1,CHA,AL,2B,97,,,241,346,20,78,,,,,
hayesja02,1932,1,CHA,AL,3B,10,,,13,15,3,0,,,,,
hayesja02,1932,1,CHA,AL,SS,10,,,20,25,7,5,,,,,
haywora01,1932,1,DET,AL,C,106,,,399,59,4,8,3,,,,
