playerid,yearid,stint,teamid,lgid,wins,losses,games,gamesstarted,cg,sho,sv,ipouts,hits,er,hr,bb,so,baopp,era,ibb,wp,hbp,balks,bfp,gf,runs,sh,sf,gidp
livelbu01,1947,1,CIN,NL,4,7,38,17,3,1,0,369,126,64,16,63,52,0.26,4.68,,1,0,1,553,6,75,,,
lombavi01,1947,1,BRO,NL,12,11,33,20,7,3,3,524,156,58,12,65,72,0.24,2.99,,4,2,1,726,9,73,,,
lopated01,1947,1,CHA,AL,16,13,31,31,22,3,0,758,241,79,17,73,109,0.25,2.81,,0,2,0,1047,0,88,,,
lyonsal01,1947,1,NYA,AL,1,0,6,0,0,0,0,33,18,11,2,9,7,0.36,9,,1,0,0,59,1,11,,,
lyonsal01,1947,2,PIT,NL,1,2,13,0,0,0,0,85,36,23,4,12,16,0.3,7.31,,2,1,0,133,6,24,,,
maconma01,1947,1,BSN,NL,0,0,1,0,0,0,0,6,1,0,0,1,1,0.16,0,,0,0,0,7,1,0,,,
mallobo01,1947,1,CIN,NL,0,0,1,0,0,0,0,3,3,2,1,0,1,0.6,18,,0,0,0,5,0,2,,,
maltzgo01,1947,1,CHA,AL,1,4,33,0,0,0,5,191,61,24,4,25,22,0.25,3.39,,0,1,0,271,22,26,,,
marchph01,1947,1,PHA,AL,19,9,35,35,21,2,0,830,228,99,15,141,128,0.22,3.22,,1,7,0,1172,0,110,,,
martira01,1947,1,BSN,NL,1,0,1,1,1,0,0,27,7,1,0,4,2,0.21,1,,0,0,0,37,0,1,,,
mastewa02,1947,1,WS1,AL,12,16,35,31,14,4,1,759,215,88,11,97,135,0.23,3.13,,3,2,0,1035,4,98,,,
maunedi01,1947,1,PHI,NL,0,0,9,1,0,0,1,49,15,7,1,7,6,0.28,3.86,,0,1,1,62,7,8,,,
mccahbi01,1947,1,PHA,AL,10,5,29,19,10,1,0,496,160,61,7,62,47,0.25,3.32,,3,0,0,703,5,73,,,
mclisca01,1947,1,PIT,NL,0,0,1,0,0,0,0,3,2,2,0,0,0,0.4,18,,0,1,0,6,1,2,,,
meersru01,1947,1,CHN,NL,2,0,35,1,0,0,0,193,61,32,5,38,28,0.26,4.48,,4,2,0,278,16,34,,,
