playerid,yearid,stint,teamid,lgid,games,ab,runs,hits,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
kolpra01,1927,1,CIN,NL,24,30,3,6,0,1,0,2,0,,0,9,,0,1,,
kremera01,1927,1,PIT,NL,35,83,3,14,1,0,2,10,0,,2,19,,0,3,,
kressre01,1927,1,SLA,AL,7,23,3,7,2,1,1,3,0,0,3,3,,0,1,,
lamarbi01,1927,1,PHA,AL,84,324,48,97,23,3,4,47,4,8,16,10,,1,14,,
langfsa01,1927,1,CLE,AL,20,67,10,18,5,0,1,7,0,1,5,7,,3,2,,
laynehe01,1927,1,PIT,NL,11,6,3,0,0,0,0,0,0,,1,0,,0,0,,
lazzeto01,1927,1,NYA,AL,153,570,92,176,29,8,18,102,22,14,69,82,,0,21,,
leachfr01,1927,1,PHI,NL,140,536,69,164,30,4,12,83,2,,21,32,,8,15,,
levsedu01,1927,1,CLE,AL,25,25,2,5,0,0,0,2,0,0,0,6,,0,0,,
lindca01,1927,1,CLE,AL,12,37,2,5,0,0,0,1,1,0,5,7,,1,1,,
lindsfr01,1927,1,NY1,NL,138,562,107,172,36,8,7,58,10,,40,40,,2,15,,
lisenho01,1927,1,WS1,AL,39,83,4,11,1,1,0,5,0,0,4,25,,1,8,,
littlca01,1927,1,SLN,NL,15,12,2,5,1,0,0,1,0,,0,2,,0,0,,
lucasre01,1927,1,CIN,NL,80,150,14,47,5,2,0,28,0,,12,10,,1,6,,
